YEAR,REGION,STATEFIP,COUNTY,METRO,ASECWT,AGE,SEX,RACE,OCC,UHRSWORK1,EDUC,SCHLCOLL,INCWAGE,OFFTOTVAL,POVERTY
2024,31,45,0,1,2877.24,17,2,100,4110,16,60,1,5000,138513,23
2024,41,56,0,4,181.7,60,2,100,7700,40,73,0,83000,118595,23
2024,12,36,0,1,4692.87,67,2,100,0,999,81,0,0,46082,23
2024,33,48,0,3,2278.45,50,1,100,6200,40,73,5,63000,63000,23
2024,11,44,0,3,1609.18,24,2,100,0,999,92,5,0,87690,23
2024,32,21,0,3,4213.08,26,1,100,1010,40,91,5,65000,65260,23
2024,22,27,0,4,3396.48,79,2,100,0,999,92,0,0,49056,23
2024,22,29,0,4,2267.25,38,2,100,5000,40,81,5,38000,41010,22
2024,21,55,0,1,2915.86,43,1,100,5110,40,91,5,35000,35101,23
2024,31,12,0,3,2342.8,45,2,100,0,999,92,5,0,101000,23
2024,21,55,0,1,3172.45,60,2,100,5240,40,92,0,58000,68401,23
2024,32,1,1097,2,1685.4,21,1,805,4220,999,73,5,0,40527,22
2024,21,26,26163,3,4188.9,61,2,100,0,999,92,0,24192,113195,23
2024,42,6,6001,3,2496.77,14,1,100,0,999,1,0,99999999,170000,23
2024,42,41,41039,2,1354.51,41,1,100,3090,60,124,5,450000,467051,23
2024,11,50,0,1,626.7,38,1,100,565,40,111,5,87000,135551,23
2024,42,53,0,2,4249.31,32,1,100,1430,40,111,5,100000,116100,23
2024,42,6,0,3,2841.05,3,2,100,0,999,1,0,99999999,43030,23
2024,11,50,0,1,259.1,12,1,100,0,999,1,0,99999999,101402,23
2024,41,32,0,2,1300.13,61,1,100,0,999,71,0,0,26400,22
2024,31,12,12086,3,2100.07,61,1,100,960,50,111,0,98000,189036,23
2024,31,12,12069,3,4640.49,64,1,100,0,999,73,0,3000,15320,10
2024,12,42,42101,2,2937.65,58,1,200,0,999,60,0,0,0,10
2024,41,49,0,3,2509.15,24,1,100,7210,40,73,5,11000,11000,10
2024,42,6,6073,3,1563.1,62,2,100,0,999,73,0,0,140001,23
2024,42,15,15003,3,433.91,44,1,651,8600,40,91,5,150000,210930,23
2024,12,36,36047,2,3677.98,78,1,100,4720,20,73,0,11000,133779,23
2024,41,16,0,1,1028.29,20,2,100,0,999,73,5,0,10,10
2024,33,48,0,3,2651.99,5,1,100,0,999,1,0,99999999,80500,23
2024,12,36,36047,2,5427.36,11,1,200,0,999,1,0,99999999,76000,23
2024,32,1,0,1,1328.66,11,1,100,0,999,1,0,99999999,30000,10
2024,41,30,0,1,508.63,58,2,100,2060,997,123,0,30000,82127,23
